epoch,train_acc,test_acc,train_loss,test_loss
196,0.89388000,0.64540000,0.30555399,1.31199764
197,0.89236000,0.73080000,0.30969446,1.02245573
198,0.89218000,0.75240000,0.30924729,0.83892945
199,0.89106000,0.71010000,0.30976207,1.02530961
200,0.89356000,0.70710000,0.30728461,1.02282333
201,0.89340000,0.72140000,0.30596176,1.01442682
202,0.89482000,0.69180000,0.30471355,1.14846268
203,0.89468000,0.71330000,0.30235588,1.12267559
204,0.89574000,0.74970000,0.30176311,0.87814605
205,0.89446000,0.68740000,0.30336081,1.26253030
206,0.89820000,0.74450000,0.29566630,0.92006583
207,0.89760000,0.70200000,0.29731118,1.15829607
208,0.89784000,0.68760000,0.29609910,1.13987159
209,0.89920000,0.74370000,0.29226173,0.95420172
210,0.89802000,0.73310000,0.29665356,0.92531947
211,0.89996000,0.74300000,0.29328221,0.87743182
212,0.89938000,0.71690000,0.29054533,1.06193137
213,0.89944000,0.68340000,0.28799444,1.18412256
214,0.89940000,0.68310000,0.29017161,1.17780646
215,0.90002000,0.73750000,0.29227023,0.96594524
216,0.90212000,0.73850000,0.28202678,0.96271293
217,0.90254000,0.70260000,0.27778673,1.16687533
218,0.90330000,0.73830000,0.27994639,0.94573239
219,0.90384000,0.75490000,0.28117101,0.88415334
220,0.90246000,0.69740000,0.28141103,1.11705019
221,0.90380000,0.73040000,0.27651482,0.97488154
222,0.90700000,0.73700000,0.27096862,0.93525329
223,0.90730000,0.73620000,0.26758361,0.94628345
224,0.90648000,0.73460000,0.26700098,1.02901407
225,0.90666000,0.74730000,0.27246458,0.96496684
226,0.90764000,0.72340000,0.26699152,1.03751042
227,0.90952000,0.69590000,0.26155157,1.14469763
228,0.90988000,0.73970000,0.25854504,0.99781880
229,0.91086000,0.75420000,0.25894434,0.89306779
230,0.91122000,0.74720000,0.25808048,0.97097659
231,0.91306000,0.71260000,0.25221830,1.09003479
232,0.91386000,0.73450000,0.24902644,1.02498087
233,0.91282000,0.72330000,0.25405938,1.03172449
234,0.91506000,0.72200000,0.24540911,1.04302632
235,0.91706000,0.72430000,0.24251475,1.00975396
236,0.91756000,0.73020000,0.24384133,1.10516666
237,0.91586000,0.74420000,0.24291247,0.97249727
238,0.91580000,0.74460000,0.23984441,0.95008737
239,0.91748000,0.73260000,0.23982654,1.01909271
240,0.91790000,0.70880000,0.23849034,1.19194945
241,0.92020000,0.73990000,0.23054571,1.02807457
242,0.92126000,0.73450000,0.22788356,1.04326446
243,0.91900000,0.75150000,0.23145313,0.97432559
244,0.92324000,0.72550000,0.22337408,1.07706647
245,0.92296000,0.73810000,0.22287311,1.09372061
246,0.92452000,0.72790000,0.21938174,1.12964234
247,0.92308000,0.73720000,0.22251405,1.04859730
248,0.92144000,0.76050000,0.22357360,0.92804571
249,0.92606000,0.73650000,0.21536226,1.03133398
250,0.92806000,0.73200000,0.21124801,1.02953195
251,0.92618000,0.75540000,0.21509182,0.97180159
252,0.92650000,0.74870000,0.21060241,0.96566089
253,0.92900000,0.75690000,0.20432198,0.96558785
254,0.92940000,0.73140000,0.20435301,1.17370847
255,0.92804000,0.74400000,0.20781081,1.00833309
